,Country,MPI,Intensity,Population 2021,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
8,Jordan,0.0015259204752518,35.38750026592064,11148.278,0.00029272774656834865,0.00027955183033863835,0.00040877302231053176,0.00040744891488794793,5.224163128206748e-06,2.1778627967971955e-05,3.20705914995005e-05,0.0,5.97996127909587e-05,1.8545965759663107e-05,0.032038130148807284,9.378449642723829e-06,8.956317923726587e-06,1.309632329010612e-05,1.3053901364170377e-05,1.67372418220088e-07,6.977465173003398e-07,1.0274817844102296e-06,0.0,1.9158677774450155e-06,5.941780647434102e-07,0.000572279576906987,0.0008162219371984796,0.000137418961146301,1.8334767566450416e-05,2.6150224654276497e-05,4.402646562119084e-06
10,"Palestine, State of",0.0019800922697394,34.97258081680731,5133.392,0.0008269087730079076,0.0004186972142500501,7.23718428916042e-05,0.0005415320904059097,1.863892210632444e-05,5.275384898662018e-05,1.3537625956683757e-05,0.0,2.8883633796082837e-05,6.7683183381279565e-06,0.014752438089617617,1.2198920479560824e-05,6.176804731519227e-06,1.0676611316899237e-06,7.988918637254392e-06,2.749695444307565e-07,7.782478911641513e-07,1.9971298880637758e-07,0.0,4.2610401937989915e-07,9.984919725405628e-08,0.0012456059872579576,0.0006139039332975139,0.00012058234918383917,1.837572521108005e-05,9.056579768944316e-06,1.7788836410352409e-06
17,Tunisia,0.0028877310361996,36.48734391482851,12262.946,0.0006085516427101038,9.648433915919582e-05,0.0011490435445828124,0.0006288810737927069,1.1600342247899784e-05,0.0001306756096725822,0.00011762724696143491,2.1343677004136727e-05,4.14491948204179e-05,8.207436524840176e-05,0.035241483927454596,2.1446262935594217e-05,3.4002512877298776e-06,4.0493999608360645e-05,2.216270225434607e-05,4.0881327488233276e-07,4.605202397986636e-06,4.145358733222141e-06,7.521828500940667e-07,1.4607311330696916e-06,2.8924224237575886e-06,0.0007050359818692996,0.0017779246183755194,0.00040477043595487326,2.4846514223324094e-05,6.265670186270671e-05,1.4264710813012457e-05
22,Algeria,0.0054090931224496,39.172626681723074,44177.969,0.0013098834267268418,0.0003785301638979255,0.0016017468097635123,0.0010650044747788007,7.066050004404163e-05,0.0003423475824789059,0.0002295487251759729,9.189209624945229e-05,0.0002458055702734937,7.367377306007664e-05,0.1269594748652638,0.00016630211199195207,4.805799082914285e-05,0.00020335693383468712,0.00013521240884707263,8.971019979308475e-06,4.3464269292914474e-05,2.9143385604332277e-05,1.166657228409874e-05,3.1207346120879456e-05,9.35358353904995e-06,0.0016884135906247671,0.002666751284542313,0.0010539282472819432,0.00021436010282109493,0.00033856934268175975,0.0001338061768205834
27,Libya,0.0074214647664764,37.13482322616732,6735.277,0.0025306152169619046,0.0003633916221434996,0.0021570429963252724,0.0014474538524660307,1.2959563339382506e-05,0.00017954184723020675,0.0004704202101628012,2.5780157102828536e-05,0.00021570735945907198,1.8551941284762638e-05,0.01935596520953893,4.898250009824444e-05,7.033795595647495e-06,4.175164919235158e-05,2.8016866410745588e-05,2.5084485712790396e-07,3.4752057486442353e-06,9.105437221775173e-06,4.989998239787971e-07,4.1752241451313054e-06,3.5909073007727457e-07,0.0028940068391054043,0.0036044968487913033,0.0009229610785790537,5.601629569389193e-05,6.976851560309716e-05,1.786480252673469e-05
44,Egypt,0.0196817970481813,37.57057516612406,109262.178,0.006521493071035131,0.0013547412196068503,0.004773997898433246,0.005673108975539508,0.0,0.00047128248687647935,0.000217553482693501,3.548585103805359e-05,0.0004913281864369367,0.00014280587652438118,0.3139996938635857,0.0020477468278385265,0.00042538832822093173,0.0014990338786134408,0.001781354481574166,0.0,0.00014798255660248386,6.831172696471621e-05,1.1142546362437634e-05,0.0001542769001277489,4.484100151057671e-05,0.00787623429064198,0.010447106873972753,0.001358455883569352,0.0024731351560594583,0.0032803883601876067,0.0004265547315679633
49,Morocco,0.0266967234413385,41.977956107967564,37076.584,0.005602360315079401,0.0009043508740831052,0.008274305288455354,0.0042271254168314235,0.0010485987982079492,0.0013301726708950452,0.0019352425973877638,0.0005801251073463333,0.0021363956267359914,0.0006580467463160189,0.10655138162729579,0.0005969392319456423,9.635983510940747e-05,0.0008816386604909582,0.0004504060534752468,0.00011172965072177891,0.0001417317358867373,0.00020620277253566275,6.18131317044351e-05,0.00022763590573123238,7.011578999531842e-05,0.006506711189162506,0.012501430705286778,0.007688581546889102,0.0006932990670550497,0.0013320447139662048,0.0008192289865751648
53,Iraq,0.032694322381288,37.860725028718015,43533.592,0.008401523057681038,0.0024111419655864206,0.00915211217367181,0.010766384800799009,9.033670118846097e-05,0.0007835446640852343,0.00022934591487666224,2.8074630169489266e-05,0.0007352765837975503,9.658188943337605e-05,0.1251076521720283,0.001051094824415635,0.00030165231036796653,0.0011449992664631186,0.0013469571248085745,1.130181259065443e-05,9.802743329562425e-05,2.8692928945465068e-05,3.512351066102795e-06,9.198872709598113e-05,1.2083133429348106e-05,0.010812665023267458,0.019918496974470817,0.001963160383550773,0.0013527471347836014,0.002491956391271693,0.0002456063864231758
87,Yemen,0.2451664614580897,50.58480016217859,32981.641,0.06309036537368268,0.007893146392583894,0.02861751750051134,0.04594950135317782,0.01639867100673837,0.020645602924194737,0.016587043999511754,0.011018207483561223,0.025443478603533562,0.00952292682059687,0.0947832577263716,0.005979910361264716,0.0007481381288002595,0.0027124615367399157,0.004355243429156513,0.0015543194604016606,0.001956857502880281,0.001572174066324388,0.0010443415995970197,0.002411615789934143,0.0009026140271460095,0.07098351176626658,0.07456701885368916,0.09961593083813652,0.006728048490064975,0.007067704965896429,0.0094419224462835
92,Sudan,0.2794395886310534,53.401499428373455,45657.202,0.049584511834713074,0.009267576707750393,0.04501010782233309,0.03644960841014781,0.02434653086520928,0.025591042640865435,0.019894182285782637,0.023670719932653583,0.028810729887244042,0.016814578244350807,0.13121052237003633,0.006506009699295951,0.0012160035809283105,0.005905799759299983,0.004782572159678764,0.0031945210327223223,0.0033578140729018276,0.002610326049842263,0.003105847527238308,0.003780270918367309,0.0022062495948731177,0.05885208854246347,0.08145971623248091,0.1391277838561058,0.007722013280224262,0.010688371918978746,0.018255029195945145
