,Country,MPI,Intensity,Population 2018,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
14,Thailand,0.0030710375867784023,39.09996747970581,69428.454,0.0006357256091408386,0.00043975005264631356,0.0010161491762279845,0.000439700400847981,0.00018109426042538755,9.094461917151086e-05,4.372829588957785e-05,4.715471043402518e-05,0.00010765355331929412,6.913682859194335e-05,0.033750250472855396,2.1455898540511873e-05,1.484167442226443e-05,3.4295289215480154e-05,1.4839998661634279e-05,6.1119766485533345e-06,3.069403676196938e-06,1.4758409390243855e-06,1.5914832881233177e-06,3.63333438881907e-06,2.3333852818769585e-06,0.0010754756617871522,0.0014558495770759655,0.0005397122678317389,3.62975729627763e-05,4.9135287877114436e-05,1.8215424222594005e-05
26,Indonesia,0.014010748825967312,38.714346289634705,267670.549,0.0,0.004867627399197216,0.0025858845698206873,0.0011644829846661556,0.0013220481197215445,0.001212192573696154,0.0007503634595987727,0.00042813387758325154,0.000727321483907032,0.0009526945404558715,0.13011881372090922,0.0,0.0006333699028189364,0.00033647223264427146,0.0001515211445629439,0.00017202333302012592,0.00015772905969063937,9.763640322250969e-05,5.570827226486566e-05,9.463820867971438e-05,0.00012396348344250474,0.004867627399197216,0.003750367554486843,0.005392754054962626,0.0006333699028189364,0.0004879933772072154,0.0007016987603203598
29,China,0.01606672629714012,41.35558009147644,1427647.789,0.005603545565499912,5.9664214357752106e-05,0.00331981724201047,0.0029760308827787574,0.001847080172869775,0.0005783279038057976,0.0011830561051268673,2.089128747659319e-05,0.0,0.0004783136826019205,0.6940017772218897,0.003888870581200778,4.140707080082775e-05,0.0023039590660071385,0.002065370721715687,0.0012818769226429392,0.0004013605930582336,0.0008210430395112527,1.4498590637209081e-05,0.0,0.0003319505457952797,0.005663209779857664,0.006295848124789227,0.0041076691518809536,0.003930277652001606,0.004369329787722826,0.0028507296916449147
35,Vietnam,0.01933417282998562,39.49636518955231,95545.959,0.0,0.0029427331010896396,0.006035374697381524,0.002205725638719236,0.0024676362339005886,0.0022485254400581023,0.0008307908798331487,0.0002489308786746223,0.0017113537644024984,0.0006431025380469399,0.046446375543940134,0.0,0.00013667928673879296,0.0002803212797429763,0.00010244796136285085,0.00011461275922558083,0.00010443585700904187,3.8587225203210865e-05,1.1561937075404506e-05,7.94861796299741e-05,2.9869781995389217e-05,0.0029427331010896396,0.00824110033610076,0.0081503397349159,0.00013667928673879296,0.0003827692411058271,0.00037855374013860135
38,Philippines,0.02424934320151806,41.83819591999054,106651.394,0.0,0.004924337968085252,0.004910277013454867,0.0026121409371121646,0.002889324727614273,0.002011845710182203,0.0011016919473393824,0.001407916633632822,0.0024632215772849436,0.0019285865964763088,0.05184490008634194,0.0,0.00025530180994676,0.0002545728211588291,0.00013542618589602377,0.00014979675182015913,0.00010430393983353196,5.7117108935737765e-05,7.299329720059254e-05,0.0001277054765648595,9.99873794021725e-05,0.004924337968085252,0.007522417950567031,0.011802587192529933,0.00025530180994676,0.00038999900705485283,0.0006119039537570534
41,Mongolia,0.028126820921897888,38.750457763671875,3170.214,0.004691508667755473,0.00124134278423782,0.004827358357277767,0.0027096451097315954,0.0038558777295156776,0.003906156477959888,0.002644403905008863,0.0004317964981604139,0.003415225753609419,0.0004035049313721034,0.0015410902935063598,7.230038469778913e-06,1.9130213157030637e-06,7.439395107677573e-06,4.175807777454337e-06,5.942255741903952e-06,6.019739833100972e-06,4.075265190119473e-06,6.654373920850506e-07,5.2631712590204185e-06,6.218375331194985e-07,0.005932851451993293,0.007537003467009362,0.014656965295626365,9.143059785481977e-06,1.1615202885131909e-05,2.258770694934936e-05
50,Kiribati,0.08015740662813187,40.47824144363403,115.842,0.01706972089827119,0.007184173339604416,0.0006305297923080502,0.009069209206086504,0.008398765536399289,0.008998239854691725,0.0044662842174922335,0.008432092160450544,0.010648031668216706,0.005260360029263611,5.631259649360067e-05,9.612403052027282e-07,4.0455945441322703e-07,3.550676977143707e-08,5.107107185383977e-07,4.729562946956127e-07,5.06714250089891e-07,2.515080609653771e-07,4.74833003428305e-07,5.99618310783369e-07,2.9622453173898713e-07,0.024253894237875606,0.009699738998394554,0.04620377346651411,1.3657997596159554e-06,5.462174883098348e-07,2.601854451701542e-06
58,Lao PDR,0.10833325237035751,46.9537228345871,7061.498,0.02007176170731384,0.003210029261254757,0.027748271946853365,0.015224509980753531,0.012722125268519069,0.009548998503595196,0.005802712785275055,0.0033708958063744104,0.006680323437439933,0.0039536277087064975,0.003432703920118507,6.890041509638075e-05,1.101908002880432e-05,9.525160188847794e-05,5.226123509281598e-05,4.3671289281484125e-05,3.277888459649699e-05,1.9918994925335462e-05,1.1571287248852474e-05,2.29315724513596e-05,1.3571633334365945e-05,0.023281790968568597,0.042972781927606896,0.04207868350991016,7.991949512518507e-05,0.00014751283698129393,0.0001444436618378946
65,Cambodia,0.17034812271595,45.81012725830078,16249.795,0.03401742316672163,0.0030491443538764595,0.03592879394897053,0.018020155135785365,0.020133769191430617,0.017003995264336158,0.011841515759848265,0.014565409566875243,0.012108561459714173,0.0036793504262181143,0.007899277886593201,0.00026871307857976744,2.408603856760683e-05,0.0002838115275330665,0.00014234621297708823,0.00015904223774763936,0.00013431928377530614,9.353942358551428e-05,0.00011505621770079067,9.564889177717487e-05,2.906421145885202e-05,0.03706656752059809,0.05394894908475589,0.07933260166842257,0.00029279911714737427,0.00042615774051015475,0.0006266702660452773
68,Myanmar,0.17584623396396637,45.893850922584534,53708.318,0.02918093316709003,0.003342444503613373,0.04168734684590891,0.015071865261540696,0.020696359421730204,0.015356765351688506,0.007553223421691346,0.014799043504524212,0.01941661292633856,0.008741642835231878,0.02610844805756107,0.0007618688778641311,8.726603870787024e-05,0.0010883919297839451,0.00039350301131149435,0.0005403498249428577,0.0004009413105167129,0.0001972029413723822,0.0003863800586394569,0.0005069376300410792,0.00022823072790140235,0.0325233776707034,0.05675921210744961,0.0865636474612047,0.0008491349165720013,0.0014818949410954395,0.002260042493413891
