,Country,MPI,Intensity,Population 2019,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
0,Serbia,0.0004331141555245,38.101536031694074,8772.228,3.8364650797254676e-05,9.563030096918017e-05,9.087223165723374e-05,8.275604800930305e-05,5.5717514303758864e-05,1.6946694242339408e-05,1.3784489236838918e-05,4.145764153796811e-06,2.604789469815343e-05,8.848569497725298e-06,0.07770778825465083,2.9812321606166875e-06,7.431219178441582e-06,7.0614801358478975e-06,6.43078945549864e-06,4.329684803591973e-06,1.316890127800021e-06,1.071162170814792e-06,3.2215816301696424e-07,2.024124285683549e-06,6.876027648857995e-07,0.00013399495176643483,0.00017362827966653678,0.00012549092613261273,1.041245133905827e-05,1.3492269591346536e-05,9.7516223157931e-06
1,Armenia,0.0006900690235151,36.21394772837801,2957.728,0.00022849143364876739,0.0,3.942228290631714e-05,0.00021434846680082768,4.031730565063107e-05,0.00010586299109459541,2.1272743082953143e-05,0.0,1.3140760675053494e-05,2.7213039918735288e-05,0.026200698515685173,5.986635166448037e-06,0.0,1.0328913492284644e-06,5.616079555947838e-06,1.0563415703169148e-06,2.773684313638159e-06,5.573607281180824e-07,0.0,3.4429710871384816e-07,7.130006546060891e-07,0.00022849143364876739,0.00025377074970714484,0.0002078068404219684,5.986635166448037e-06,6.648970905176302e-06,5.444684375393093e-06
2,Ukraine,0.000840431781534,34.41045473143484,43993.643,0.0,0.0005083203512482135,0.00015290206420008718,8.54378164360892e-05,3.6953330106969615e-05,1.6373575391159453e-05,1.2856358556650152e-05,2.4192632083545907e-06,8.126329350486448e-06,1.7042693292084085e-05,0.3897127040923585,0.0,0.00019809889863011876,5.958787690071937e-05,3.329620247505487e-05,1.4401182201204692e-05,6.380990341348846e-06,5.010286257893061e-06,9.428176068390224e-07,3.1669337855231726e-06,6.641754087874787e-06,0.0005083203512482135,0.00023833988063617638,9.377154990570434e-05,0.00019809889863011876,9.288407937577424e-05,3.654396428068358e-05
3,Turkmenistan,0.000849177409976,34.04783645270937,5942.094,0.00040136217679896777,0.00029839759072630554,0.0,0.0001315974480429664,0.0,0.0,0.0,0.0,1.7820196399281728e-05,0.0,0.052637366737530215,2.1126648094740706e-05,1.570686341665599e-05,0.0,6.9269431343607e-06,0.0,0.0,0.0,0.0,9.380082132038078e-07,0.0,0.0006997597675252733,0.0001315974480429664,1.7820196399281728e-05,3.683351151139669e-05,6.9269431343607e-06,9.380082132038078e-07
4,Georgia,0.0012446002883463,36.59234566973725,3996.762,0.00015584775435684695,0.00043089485456725385,7.62405630077687e-05,0.0002195225992611654,9.617287154044878e-05,8.422612275372002e-05,6.644404340287567e-05,1.759368958330427e-06,8.83628708494506e-05,2.5129241465544763e-05,0.035404863530705634,5.517768474571101e-06,1.5255773522036873e-05,2.6992867287942152e-06,7.772167668747341e-06,3.4049873922456726e-06,2.982014381815918e-06,2.352442289107095e-06,6.22902178698485e-08,3.1284753836061655e-06,8.896973647177615e-07,0.0005867426089241008,0.00029576316226893407,0.0003620945189703702,2.0773541996607974e-05,1.0471454397541557e-05,1.2819907029362461e-05
5,North Macedonia,0.0014220629536173,38.24223772645486,2083.458,8.176199145336223e-05,0.0003397269143269644,0.0005379990722907156,0.0002101273769220712,0.00010426118988815104,5.275239329192858e-05,2.3289993903466217e-06,4.432512495872507e-05,0.0,4.8779886174395965e-05,0.01845607673460589,1.5090055882374441e-06,6.270025999629335e-06,9.929352161344227e-06,3.8781269925152e-06,1.9242525210170313e-06,9.736022185299429e-07,4.2984191463087584e-08,8.180679075092246e-07,0.0,9.002853223399928e-07,0.00042148890578032664,0.0007481264492127868,0.00025244759370354725,7.779031587866779e-06,1.3807479153859427e-05,4.659192160859279e-06
6,Kyrgyzstan,0.0014259649449804,36.28122609811378,6415.851,0.0006550518182697478,0.0002661793689314214,6.578042247314567e-05,0.00018880923340275913,0.00014676256061802362,2.9433758619563053e-05,5.360191009086881e-05,0.0,2.0345877342570822e-05,0.0,0.05683408946750926,3.722927364539746e-05,1.5128062068253559e-05,3.7385704160493176e-06,1.073080086350425e-05,8.341116500645506e-06,1.6728408707493183e-06,3.046415753733825e-06,0.0,1.1563394131826396e-06,0.0,0.0009212311872011692,0.0002545896558759048,0.0002501441066710263,5.235733571365102e-05,1.4469371279553568e-05,1.4216712538311288e-05
8,Kazakhstan,0.0016106327009958,35.55654066115895,18551.428,0.0007518956917694823,0.0007048157298708066,3.0674922408091927e-06,4.70799618986757e-05,1.671581767286732e-05,0.0,3.358980014206596e-05,1.0224973907485086e-06,5.142321930392063e-05,1.0224973907485086e-06,0.1643357239284479,0.000123563322825619,0.00011582640320447638,5.040985580382754e-07,7.736919621142615e-06,2.7470059983265944e-06,0.0,5.520004122958292e-06,1.680328489236052e-07,8.450671971041133e-06,1.680328489236052e-07,0.001456711421640289,5.0147454139484894e-05,0.00010377383190035092,0.00023938972603009537,8.241018179180891e-06,1.705374779017323e-05
15,Albania,0.0027478786104977,39.05670515965335,2880.913,0.0007725218101236865,4.028190792288043e-06,0.0008594995859222116,0.0006533345111445865,0.00015833960311927231,7.983410983532639e-05,0.00011558342844997168,0.0,7.736211682971799e-05,2.7375270275624806e-05,0.02552024153773373,1.9714943187523754e-05,1.0280040197926587e-07,2.1934637034316967e-05,1.667325452934704e-05,4.0408649165927265e-06,2.0373857659474937e-06,2.949717011802642e-06,0.0,1.9742999073647786e-06,6.986235095946877e-07,0.0007765500009159745,0.001512834097066798,0.0004584945285099131,1.981774358950302e-05,3.8607891563664006e-05,1.1700891111302327e-05
19,Moldova,0.0035339052106659,37.449988866511156,4043.258,0.00032453556105769687,0.0,0.0011569764421229451,0.0003407247336628185,0.0003357095763137455,0.0004008029011375795,0.0003243417541171316,3.0709561931006555e-05,0.0003070125698722717,0.0003130920935660147,0.03581674308088242,1.1623806811013557e-05,0.0,4.143912797815095e-05,1.220365024690326e-05,1.202402364462131e-05,1.4355454536117e-05,1.161686527761604e-05,1.099916489809309e-06,1.0996190337716618e-05,1.1213939075909547e-05,0.00032453556105769687,0.0014977011757857637,0.0017116684569377497,1.1623806811013557e-05,5.364277822505421e-05,6.130638936178982e-05
