,Country,MPI,Intensity,Population 2021,Nutrition,Child mortality,Years of schooling,School attendance,Cooking fuel,Sanitation,Drinking water,Electricity,Housing,Assets,Weight,Nutrition_w,Child mortality_w,Years of schooling_w,School attendance_w,Cooking fuel_w,Sanitation_w,Drinking water_w,Electricity_w,Housing_w,Assets_w
0,Serbia,0.0004331141474629,38.101535322504546,7296.769,3.836464965390826e-05,9.563029811919797e-05,9.087222894905189e-05,8.275604554300046e-05,5.57175138886777e-05,1.6946694116090916e-05,1.3784489134148004e-05,4.145764122911932e-06,2.6047894504103285e-05,8.848569431805752e-06,0.05025562893776975,1.92803959733435e-06,4.805960777486713e-06,4.56684101881161e-06,4.158957117166205e-06,2.800118703324419e-06,8.516667712201509e-07,6.927481710224611e-07,2.083479834245805e-07,1.3090533208083866e-06,4.44690421994922e-07
1,Armenia,0.0006900690078574,36.213946906679,2790.974,0.0002284914268392629,0.0,3.942228173145354e-05,0.00021434846041281142,4.031730535028019e-05,0.00010586299030595037,2.1272742924477988e-05,0.0,1.3140760577159092e-05,2.7213039716007e-05,0.019222501592000923,4.392176816176294e-06,0.0,7.577948733431746e-07,4.120313621528214e-06,7.749994662809483e-07,2.0349514996901094e-06,4.089153347320045e-07,0.0,2.5259829111454365e-07,5.23102699264129e-07
2,Ukraine,0.0008404317588393,34.41045380222842,43531.422,0.0,0.0005083203360990427,0.0001529020596432819,8.543781388986122e-05,3.695332983167564e-05,1.637357526918008e-05,1.2856358460873147e-05,2.419263190331614e-06,8.126329289947079e-06,1.7042693165119782e-05,0.2998174933543143,0.0,0.00015240332899023754,4.584271225096064e-05,2.5615751198130607e-05,1.1079254721228195e-05,4.909084294453764e-06,3.854561167403517e-06,7.253374254895859e-07,2.436415677883678e-06,5.1096975447729175e-06
3,Turkmenistan,0.0008491773862619,34.047835501893296,6341.855,0.0004013621648375095,0.00029839758183341337,0.0,0.00013159744412107909,0.0,0.0,0.0,0.0,1.7820195469894376e-05,0.0,0.0436787722973195,1.7531006606696793e-05,1.3033640030972425e-05,0.0,5.74801479667384e-06,0.0,0.0,0.0,0.0,7.783642602232409e-07,0.0
4,Georgia,0.0012446002611653,36.59234487059244,3757.98,0.00015584774971225145,0.00043089484172566624,7.624056073563706e-05,0.00021952259271892295,9.617287082398027e-05,8.42261221262528e-05,6.644404290788188e-05,1.7593689452234868e-06,8.836287019116573e-05,2.5129241278337204e-05,0.025882640444772193,4.033751269929053e-06,1.1152696257892442e-05,1.9733070208283104e-06,5.681824336848049e-06,2.4892078360786033e-06,2.1799944350512727e-06,1.7197472722817225e-06,4.553711381891761e-08,2.287064397826021e-06,6.504111166571294e-07
5,North Macedonia,0.001422062911959,38.24223660617487,2103.33,8.176198901668447e-05,0.00033972690420239546,0.00053799905625722,0.00021012737065983827,0.00010426118911143275,5.275239289893663e-05,2.328999372996286e-06,4.432512462851423e-05,0.0,4.877988581099832e-05,0.014486435299470113,1.1844397638461857e-06,4.921431817217283e-06,7.793688519646199e-06,3.0439965597115216e-06,1.5103729703085885e-06,7.641941266226721e-07,3.373889872941716e-08,6.421130500719206e-07,0.0,7.066466597165673e-07
6,Kyrgyzstan,0.0014259649128426,36.281225280422156,6527.743,0.0006550517987478001,0.0002661793609987091,6.578042051274901e-05,0.00018880922777584155,0.00014676255952467346,2.9433758400287596e-05,5.360190969154572e-05,0.0,2.034587719099814e-05,0.0,0.044959053796156064,2.945050905917114e-05,1.1967172210567406e-05,2.9574254645664506e-06,8.488684228784744e-06,6.598305808931351e-06,1.3233139273415905e-06,2.4098911413989033e-06,0.0,9.147313871600699e-07,0.0
9,Kazakhstan,0.0016106326619995,35.5565398002701,19196.465,0.0007518956693614312,0.0007048157088658402,3.067492149391633e-06,4.707996049559515e-05,1.6715817548338915e-05,0.0,3.358979989183097e-05,1.0224973831310812e-06,5.142321892083105e-05,1.0224973831310812e-06,0.13221337032279412,9.941066057738808e-05,9.318606032560197e-05,4.055634755097797e-07,6.224600251786639e-06,2.2100545757667934e-06,0.0,4.441020652167198e-06,1.3518782516999753e-07,6.7988370863699485e-06,1.3518782516999753e-07
16,Albania,0.0027478785548485,39.056704368687726,2854.71,0.0007725217871009154,4.028190672239502e-06,0.0008594995603073275,0.0006533344916738504,0.00015833960193968117,7.983410924058279e-05,0.00011558342758890434,0.0,7.736211625338941e-05,2.737527007168619e-05,0.019661475714105883,1.5188918355702325e-05,7.920017307402482e-08,1.6899029731267204e-05,1.2845520241233122e-05,3.113190238118234e-06,1.5696563999909946e-06,2.2725407544923587e-06,0.0,1.521053369907852e-06,5.382382076815477e-07
20,Moldova,0.0035339051267231,37.44998797694088,3061.506,0.0003245355513858489,0.0,0.0011569764076425927,0.0003407247235084992,0.00033570957381278104,0.00040080289815168894,0.00032434175170085647,3.070956170222729e-05,0.00030701256758509563,0.00031309209123354796,0.021085758577084692,6.843078286203074e-06,0.0,2.4395725210934436e-05,7.1844392611441474e-06,7.078691025432295e-06,8.451233147422378e-06,6.838991872833008e-06,6.475344040612508e-07,6.473592880230224e-06,6.601784248145167e-06
