,Country,MPI,Intensity,Population 2021,Region,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
0,Serbia,0.0004331141474629,38.101535322504546,7296.769,Europe and Central Asia,3.836464965390826e-05,9.563029811919797e-05,9.087222894905189e-05,8.275604554300046e-05,5.57175138886777e-05,1.6946694116090916e-05,1.3784489134148004e-05,4.145764122911932e-06,2.6047894504103285e-05,8.848569431805752e-06,0.0011877026170545215,4.556579479632668e-08,1.1358035534587551e-07,1.0792918414036659e-07,9.828957186850482e-08,6.617583706135416e-08,2.012763295210364e-08,1.63718738193872e-08,4.9239348984732445e-09,3.093715247128356e-08,1.0509469071344332e-08,0.00013399494777310622,0.00017362827449205235,0.00012549092519773756,1.591461501422022e-07,2.062187560088714e-07,1.4904590027394613e-07
1,Armenia,0.0006900690078574,36.213946906679,2790.974,Europe and Central Asia,0.0002284914268392629,0.0,3.942228173145354e-05,0.00021434846041281142,4.031730535028019e-05,0.00010586299030595037,2.1272742924477988e-05,0.0,1.3140760577159092e-05,2.7213039716007e-05,0.0004542897169872208,1.0380130563281502e-07,0.0,1.7909137210772515e-08,9.73763014175826e-08,1.831573723726615e-08,4.8092467905511094e-08,9.66398836270301e-09,0.0,5.969712403594432e-09,1.2362604110946821e-08,0.0002284914268392629,0.00025377074214426494,0.00020780683887387463,1.0380130563281502e-07,1.1528543862835512e-07,9.440451002002152e-08
2,Ukraine,0.0008404317588393,34.41045380222842,43531.422,Europe and Central Asia,0.0,0.0005083203360990427,0.0001529020596432819,8.543781388986122e-05,3.695332983167564e-05,1.637357526918008e-05,1.2856358460873147e-05,2.419263190331614e-06,8.126329289947079e-06,1.7042693165119782e-05,0.007085654463435086,0.0,3.601782258335005e-06,1.0834111613798382e-06,6.053828273348313e-07,2.618385264606014e-07,1.1601749668845618e-07,9.109571371180724e-08,1.7142063022797408e-08,5.758036140465679e-08,1.207586348943856e-07,0.0005083203360990427,0.00023833987353314313,9.377154920712735e-05,3.601782258335005e-06,1.6887939887146695e-06,6.644327961827046e-07
3,Turkmenistan,0.0008491773862619,34.047835501893296,6341.855,Europe and Central Asia,0.0004013621648375095,0.00029839758183341337,0.0,0.00013159744412107909,0.0,0.0,0.0,0.0,1.7820195469894376e-05,0.0,0.0010322702802405149,4.1431423437475566e-07,3.080269554222696e-07,0.0,1.358441305218018e-07,0.0,0.0,0.0,0.0,1.8395258171648623e-08,0.0,0.0006997597466709229,0.00013159744412107909,1.7820195469894376e-05,7.223411897970253e-07,1.358441305218018e-07,1.8395258171648623e-08
4,Georgia,0.0012446002611653,36.59234487059244,3757.98,Europe and Central Asia,0.00015584774971225145,0.00043089484172566624,7.624056073563706e-05,0.00021952259271892295,9.617287082398027e-05,8.42261221262528e-05,6.644404290788188e-05,1.7593689452234868e-06,8.836287019116573e-05,2.5129241278337204e-05,0.0006116902811146345,9.53305538325703e-08,2.6357418686601873e-07,4.66356100287192e-08,1.342798364512514e-07,5.882801038992192e-08,5.152030032060311e-08,4.0643175284715105e-08,1.0761888846881127e-09,5.4050708907330124e-08,1.5371312661743563e-08,0.0005867425914379176,0.00029576315345456003,0.00036209451627284135,3.5890474069858905e-07,1.809154464799706e-07,2.2148969644900194e-07
5,North Macedonia,0.001422062911959,38.24223660617487,2103.33,Europe and Central Asia,8.176198901668447e-05,0.00033972690420239546,0.00053799905625722,0.00021012737065983827,0.00010426118911143275,5.275239289893663e-05,2.328999372996286e-06,4.432512462851423e-05,0.0,4.877988581099832e-05,0.00034236119377347514,2.7992132165045858e-08,1.1630930847969914e-07,1.8418999914922484e-07,7.193945746358372e-08,3.5694985168432166e-08,1.806037220728734e-08,7.973590056366835e-10,1.5175202581976195e-08,0.0,1.6700339938387187e-08,0.00042148889321907995,0.0007481264269170582,0.0002524475918228782,1.4430144064474499e-07,2.561294566128086e-07,8.642825890171959e-08
6,Kyrgyzstan,0.0014259649128426,36.281225280422156,6527.743,Europe and Central Asia,0.0006550517987478001,0.0002661793609987091,6.578042051274901e-05,0.00018880922777584155,0.00014676255952467346,2.9433758400287596e-05,5.360190969154572e-05,0.0,2.034587719099814e-05,0.0,0.0010625274617518156,6.960105250394612e-07,2.8282288081267857e-07,6.989350324037826e-08,2.0061498954398532e-07,1.5593924985195104e-07,3.127417660287376e-08,5.695350104960812e-08,0.0,2.1618053248865413e-08,0.0,0.0009212311597465092,0.00025458964828859056,0.0002501441048075049,9.788334058521397e-07,2.705084927843636e-07,2.657849807532983e-07
7,Argentina,0.0014692951081311,33.98602364908878,45276.78,Latin America and the Caribbean,0.0005267111166080491,0.000497086859284737,0.00017699089283805075,0.00013717361173390096,3.5058890012535233e-06,3.531597320408357e-05,4.594534806731535e-06,2.8023789590844035e-06,5.117480910559903e-05,3.393904258962172e-05,0.007369748185505367,3.881728295907676e-06,3.6634049792522522e-06,1.3043783113441994e-06,1.0109349761751342e-06,2.5837519105571376e-08,2.6026982944015104e-07,3.386056455515098e-08,2.06528272488107e-08,3.7714545654957196e-07,2.5012219754265403e-07,0.0010237979758927862,0.00031416450457195173,0.00013133262766637377,7.545133275159928e-06,2.315313287519334e-06,9.678883944419101e-07
8,Jordan,0.0015259204752518,35.38750026592064,11148.278,Arab States,0.00029272774656834865,0.00027955183033863835,0.00040877302231053176,0.00040744891488794793,5.224163128206748e-06,2.1778627967971955e-05,3.20705914995005e-05,0.0,5.97996127909587e-05,1.8545965759663107e-05,0.0018146167099782583,5.311886603972062e-07,5.072794226375002e-07,7.417663568730063e-07,7.393636094181794e-07,9.479853708096254e-09,3.9519862231081747e-08,5.819583123388029e-08,0.0,1.0851337662070324e-07,3.3653819370169296e-08,0.000572279576906987,0.0008162219371984796,0.000137418961146301,1.0384680830347064e-06,1.4811299662911857e-06,2.4936274316393084e-07
9,Kazakhstan,0.0016106326619995,35.5565398002701,19196.465,Europe and Central Asia,0.0007518956693614312,0.0007048157088658402,3.067492149391633e-06,4.707996049559515e-05,1.6715817548338915e-05,0.0,3.358979989183097e-05,1.0224973831310812e-06,5.142321892083105e-05,1.0224973831310812e-06,0.0031246284100120924,2.349394569851787e-06,2.202287187745016e-06,9.584773117478154e-09,1.471073821067836e-07,5.2230718408118456e-08,0.0,1.0495564302863615e-07,3.1949243724943956e-09,1.6067845077430005e-07,3.1949243724943956e-09,0.0014567113782272714,5.014745264498678e-05,0.00010377383112726309,4.551681757596803e-06,1.5669215522426176e-07,3.2425466095604347e-07
