,Country,MPI,Intensity,Population 2018,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
8,Cuba,0.0016218493692576885,36.84541583061218,11338.146,0.0,0.00041906063515097236,0.0005081993333799079,1.3497629411740944e-05,0.0001168989289953952,0.00016946518696664067,5.7664367119989596e-05,9.612405476380759e-06,0.00016036108314857606,0.00016708976939878648,0.02131048687095441,0.0,8.930386163518613e-06,1.0829975221820308e-05,2.876410543679135e-07,2.491173091585001e-06,3.6113856419364302e-06,1.2288557384324334e-06,2.0484504070270242e-07,3.4173727570497584e-06,3.560764337043639e-06,0.00041906063515097236,0.0005216969627916488,0.0006810917411057688,8.930386163518613e-06,1.1117616276188222e-05,1.4514396606749965e-05
9,Trinidad and Tobago,0.00241792481392622,37.984198331832886,1389.841,0.00043006952601651327,0.0006698600283333023,0.0005422026783813982,0.0002805145075746307,5.821161440327941e-06,4.548490450507342e-05,4.4099424725935546e-05,0.00013031881468235015,0.00017562302029460602,9.393070912736001e-05,0.0026122602745822943,1.123453538121374e-06,1.7498487415456557e-06,1.4163745175078468e-06,7.327769045812219e-07,1.520638878249893e-08,1.1881840913177253e-07,1.151991753434936e-07,3.4042666262535516e-07,4.587730392177594e-07,2.453714600167471e-07,0.0010999295543498155,0.0008227171859560289,0.0004952780347756531,2.8733022796670295e-06,2.1491514220890688e-06,1.2937951351176267e-06
18,Saint Lucia,0.007201862055808306,37.487614154815674,181.89,0.0050035160640078125,0.0,0.0005420191562956096,0.0,0.0001807928839469503,0.0003941092288605903,8.459779720661718e-05,0.00017069702724269338,0.0006130432098042059,0.0002130868494179877,0.0003418693370995485,1.7105487199692928e-06,0.0,1.8529972965803662e-07,0.0,6.18075433872595e-08,1.3473386081538426e-07,2.892139285110825e-08,5.835607954832316e-08,2.095806757491433e-07,7.284785995515876e-08,0.0050035160640078125,0.0005420191562956096,0.0016563269964790447,1.7105487199692928e-06,1.8529972965803662e-07,5.662474123063772e-07
22,Barbados,0.00852886214852333,34.234076738357544,286.64,0.008191712846426835,0.0,5.637212928166074e-05,0.0,0.0,2.669156427808749e-05,7.523501124027639e-06,7.722237933543291e-05,0.0001505493881683445,1.8790707774773117e-05,0.0005387510406631182,4.413293820825892e-06,0.0,3.0370543314890564e-08,0.0,0.0,1.4380108031746148e-08,4.053294060000031e-09,4.160363722944656e-08,8.110863954689135e-08,1.0123513368455564e-08,0.008191712846426835,5.637212928166074e-05,0.00028077754068066567,4.413293820825892e-06,3.0370543314890564e-08,1.5126919223653968e-07
25,Suriname,0.0112324682995677,39.36052322387695,575.987,0.0016814528119600824,0.0006063203572198167,0.003143379207146607,0.0017786875305610822,0.0006308087995755378,0.00101405096204156,0.00025551561339152984,0.0005213798008555648,0.0006909287124391116,0.0009099440859347552,0.0010825899932264424,1.8203239883104481e-06,6.563963514156555e-07,3.402990874572985e-06,1.9255893216620794e-06,6.829072940596618e-07,1.09780142412784e-06,2.766186461707866e-07,5.644405550766298e-07,7.479925101194124e-07,9.850963618285479e-07,0.002287773169179899,0.004922066737707689,0.004022627974238059,2.4767203397261035e-06,5.328580196235064e-06,4.3548567913828785e-06
27,Guyana,0.014073709957301617,41.80846810340881,779.007,0.00343141102120037,0.0010028745049279544,0.0010913562491076043,0.001538049020276884,0.001200419910446282,0.0010536318394258337,0.0008998786215664092,0.001530074516968627,0.0012797825289180623,0.0010462317444635896,0.001464173988047215,5.024182759540113e-06,1.4683827633912395e-06,1.5979354316361307e-06,2.251971367830917e-06,1.7576236076094136e-06,1.5427003322656458e-06,1.31757887009732e-06,2.240295307519371e-06,1.8738242891991096e-06,1.5318653057128489e-06,0.0044342855261283246,0.0026294052693844883,0.007010019161788804,6.492565522931352e-06,3.849906799467048e-06,1.026388771240371e-05
28,Dominican Republic,0.015103261917829514,38.92543017864227,10627.147,0.0,0.00439629705896305,0.004216548320531421,0.0011974728603300067,0.001123934078536365,0.0011545425013259614,0.0005440781706290698,0.000583630999606205,0.000994131486701244,0.0008926267225263657,0.01997413656687809,0.0,8.781223784429246e-05,8.422191199513506e-05,2.3918486447361684e-05,2.2449612776853637e-05,2.306098959374978e-05,1.086749168320224e-05,1.1657525290797912e-05,1.9856918080804198e-05,1.7829448058986423e-05,0.00439629705896305,0.005414021180861428,0.005292943959325211,8.781223784429246e-05,0.00010814039844249675,0.00010572198548439418
30,Brazil,0.0163460411131382,42.54646599292755,209469.32,0.0,0.008134020790058538,0.003242222354236879,0.0005016342653458503,0.0007390315576342593,0.0019486662004633004,0.001205298459900861,9.152184236072003e-05,0.00031520966837389475,0.00016843579208265097,0.3937057428725779,0.0,0.0032024106976909898,0.0012764815605329088,0.00019749629108832786,0.0002909609684046745,0.0007672010740640876,0.00047453292553844255,3.603267493569425e-05,0.00012409985664776316,6.631413864823118e-05,0.008134020790058538,0.003743856619582729,0.004468163520815686,0.0032024106976909898,0.0014739778516212367,0.001759141638238893
31,Belize,0.01710883155465126,39.75521922111511,383.071,0.005325049398875126,0.0014326395650874624,0.0011151413383996,0.002467672943979149,0.0017252519364079066,0.0011303978000009318,0.0003888385264214714,0.0013689602879994045,0.0015828598669344607,0.0005720203048256156,0.0007199968598167087,3.834018845558943e-06,1.0314959881121483e-06,8.028982618995137e-07,1.7767167707196402e-06,1.2421759766063888e-06,8.138828663443868e-07,2.799625179992157e-07,9.856471085733485e-07,1.139654133722705e-06,4.1185282322583973e-07,0.006757688963962588,0.003582814282378749,0.006768328722589791,4.865514833671092e-06,2.579615032619154e-06,4.873175426471885e-06
32,Jamaica,0.018152866512537003,38.73103857040405,2934.853,0.007640751731205708,0.0,0.0011444538717512165,0.0020367137418396963,0.00138900033162212,0.0018790145702427818,0.0009769084089476798,0.0008704220970208731,0.001624708649276857,0.0005908933135041622,0.005516170485428672,4.214768918616496e-05,0.0,6.313002669288631e-06,1.1234860230003125e-05,7.661962633544576e-06,1.0364964714063674e-05,5.388793332404274e-06,4.801396681451472e-06,8.962169898561682e-06,3.2594682559888106e-06,0.007640751731205708,0.003181167613590913,0.007330947370614474,4.214768918616496e-05,1.7547862899291757e-05,4.043875551601449e-05
