,Country,MPI,Intensity,Population 2021,Nutrition,Child mortality,Years of schooling,School attendance,Cooking fuel,Sanitation,Drinking water,Electricity,Housing,Assets,Weight,Nutrition_w,Child mortality_w,Years of schooling_w,School attendance_w,Cooking fuel_w,Sanitation_w,Drinking water_w,Electricity_w,Housing_w,Assets_w
7,Argentina,0.0014692951081311,33.98602364908878,45276.78,0.0005267111166080491,0.000497086859284737,0.00017699089283805075,0.00013717361173390096,3.5058890012535233e-06,3.531597320408357e-05,4.594534806731535e-06,2.8023789590844035e-06,5.117480910559903e-05,3.393904258962172e-05,0.07612353926730724,4.009511436764006e-05,3.78400110520241e-05,1.3473173180913123e-05,1.0442140819263965e-05,2.668806790537431e-07,2.688376872964226e-06,3.497522507752379e-07,2.1332700473373716e-07,3.895607590447019e-06,2.5835600412658814e-06
11,Costa Rica,0.0020063009860111,37.1216433271745,5153.957,0.0003831862999072326,0.00042911223512252116,0.0005342240168928248,0.00028812474186033175,0.0,8.499534636486845e-05,3.629714820554492e-05,3.812541925276794e-05,0.00015915278457276816,5.308299383222853e-05,0.008665312508343417,3.3204290376119747e-06,3.7183916184903844e-06,4.62921805583886e-06,2.496690929605551e-06,0.0,7.365112380064757e-07,3.145261323627032e-07,3.3036867233684696e-07,1.3791086148960933e-06,4.599807304347264e-07
13,Trinidad and Tobago,0.0024179247018798,37.98419861716296,1525.663,0.0004300695243143555,0.0006698600214777589,0.000542202650418434,0.0002805145005934811,5.821161160444423e-06,4.548490375192212e-05,4.409942281376779e-05,0.00013031881008746204,0.00017562300774010613,9.393069952193468e-05,0.0025650867241260923,1.103165627269977e-06,1.7182490481154184e-06,1.3907968203743058e-06,7.195440213971992e-07,1.4931783211654427e-08,1.1667272276220851e-07,1.1311884400121908e-07,3.342790496592584e-07,4.504882456052402e-07,2.409403903315917e-07
15,Cuba,0.0026887050480684,38.06035045333903,11256.372,0.00017331543746986714,9.823701185335871e-05,0.0008691291214730173,0.0002017377415790394,0.00021823133196612456,0.00028990644108394995,0.0001068542347305517,2.6798759642111387e-05,0.00036788711092949233,0.00033660785734078414,0.018925260938375425,3.2800398787659253e-06,1.8591610831310933e-06,1.6448495413017842e-05,3.8179394005018705e-06,4.130084902388138e-06,5.486555045229514e-06,2.022244274646109e-06,5.071735190517625e-07,6.962359570205708e-06,6.3703915340817895e-06
25,Guyana,0.0071647093309801,39.2884988707267,804.567,0.0018606934150466562,0.0003142969517090172,0.0008923797501589147,0.0007126969181951987,0.0005250805781739048,0.0004053754527937379,0.00035682272075185747,0.0005908696007672722,0.000820359428303916,0.0006861345150795498,0.0013527129715867512,2.5169841186796626e-06,4.2515356350696227e-07,1.207133663621308e-06,9.64074366052547e-07,7.102833092241122e-07,5.48356633356942e-07,4.826787229179146e-07,7.992769734741742e-07,1.1097108400301985e-06,9.281430588014923e-07
26,Saint Lucia,0.0072018620576616,37.48761219896392,179.651,0.005003515894913965,0.0,0.0005420191153589397,0.0,0.00018079288918950188,0.00039410923869518375,8.459779927298951e-05,0.00017069702673508405,0.000613043232885707,0.00021308686061023311,0.00030204599251340347,1.5112919245358787e-06,0.0,1.6371470165982785e-07,0.0,5.460776765460887e-08,1.1903911616038861e-07,2.55524262458598e-08,5.155835285928543e-08,1.851672517305889e-07,6.436203230458312e-08
29,Ecuador,0.0079374393693257,37.956009527538406,17797.737,0.0024248867687720697,0.0002647839971229258,0.0012245508433154203,0.0009447432282172717,0.0005755884535030019,0.0005532695629427396,0.0004524941899694357,0.00026498457750818234,0.0005591318146345021,0.0006730059333401636,0.02992321298883682,7.256040325577894e-05,7.923187941944863e-06,3.664249570018707e-05,2.8269752837706695e-05,1.7223455888085523e-05,1.6555602972176258e-05,1.3540080022666613e-05,7.929189951534279e-06,1.6731020378143034e-05,2.0138499886088628e-05
32,Barbados,0.0085288617206525,34.2340762765694,281.2,0.00819171205735768,0.0,5.637212539249154e-05,0.0,0.0,2.669156487801295e-05,7.523501255998106e-06,7.722237547592474e-05,0.0001505493878283517,1.879070846417465e-05,0.0004727796288067923,3.872874585769688e-06,0.0,2.66515925181121e-08,0.0,0.0,1.2619228135299375e-08,3.55695813113822e-09,3.650916601308644e-08,7.117668369457793e-08,8.883864172709141e-09
33,Dominican Republic,0.0087861887056307,38.7636052135783,11117.873,0.0008256468977767785,0.00045362975384556365,0.0029174199948625397,0.0011448861158814016,0.0007096087164972637,0.0007996291151136938,0.0001608530962956713,0.00025165372970816456,0.0008612233475479393,0.0006616379381013337,0.018692403520843025,1.5433324978975773e-05,8.479430407941968e-06,5.453359178374638e-05,2.1400673263465806e-05,1.3264292470674351e-05,1.4946990086719803e-05,3.0067309835357083e-06,4.704013063230174e-06,1.6098334333937316e-05,1.2367603323688689e-05
34,Jamaica,0.0108102917138878,38.94671235533186,2827.695,0.005645049572180265,0.0,0.0011365958871904019,0.0011217274241217023,0.0005223959037798732,0.0006160003801231309,0.0007023655744811375,0.00016579401839689933,0.0006590792374992087,0.00024128371611528373,0.004754184183779596,2.6837605392711192e-05,0.0,5.403586190229547e-06,5.332898778271224e-06,2.483566343421521e-06,2.928579264383608e-06,3.3391753054294942e-06,7.882153000278022e-07,3.133384086776254e-06,1.147107226958848e-06
