,Country,MPI,Intensity,Population 2020,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
18,Seychelles,0.0029634608921739,34.22968467760313,105.53,0.0009671679465928259,0.0010134054988598874,0.000951522702052125,0.0,0.0,1.3350205237420679e-05,0.0,0.0,0.0,1.801453943163495e-05,9.741251067000686e-05,9.421425791716228e-08,9.871837397073241e-08,9.269021536640638e-08,0.0,0.0,1.3004770101370233e-09,0.0,0.0,0.0,1.7548415145993988e-09,0.001980573445452713,0.000951522702052125,3.136474466905563e-05,1.929326318878947e-07,9.269021536640638e-08,3.0553185247364223e-09
44,South Africa,0.0248906428726559,39.781226575720105,58801.927,0.007748591579885824,0.00207446919066411,0.002606519959845399,0.0006555996565582312,0.0024628184855509535,0.0011430687194712277,0.002113185385332469,0.00197469613173346,0.0023090380221323266,0.0018026557414825273,0.05427881494650303,0.0004205843684606542,0.00011259972931227914,0.00014147881455481493,3.558517243731517e-05,0.00013367886882404705,6.204441549531496e-05,0.00011470119847811579,0.00010718416590993584,0.00012533184750775992,9.784601740418131e-05,0.009823060770549934,0.0032621196164036304,0.011805462485702963,0.0005331840977729333,0.0001770639869921301,0.0006407865136193549
53,Sao Tome and Principe,0.0479233751055391,40.91726093190729,218.641,0.0076554879605590966,0.001323773460901745,0.011816175922825916,0.005731386124562432,0.005167489302140966,0.00608497019574461,0.00186203347190582,0.0039045463370157812,0.0002526788633073941,0.0041248334665730975,0.00020182288207524845,1.5450526438924029e-06,2.671677750939164e-07,2.384774679852885e-06,1.156724865945279e-06,1.042917584051104e-06,1.2280862222471658e-06,3.7580096182061373e-07,7.880267949328793e-07,5.099637643219602e-08,8.324857783042205e-07,0.00897926142146084,0.01754756204738835,0.021396551636687668,1.8122204189863194e-06,3.5414995457981636e-06,4.31831371778818e-06
56,Gabon,0.069695362281644,44.672076862412105,2292.573,0.016503257443929543,0.0062522848927444655,0.009631078124269084,0.0052735308444658135,0.005360129883467214,0.008113278088633899,0.0055670336637537975,0.004121931771837925,0.005135245261108493,0.003737592307435149,0.002116225640332319,3.492461655184891e-05,1.3231245600688242e-05,2.0381534470621932e-05,1.11599811881419e-05,1.1343244294904804e-05,1.7169527118313446e-05,1.1781099379828956e-05,8.722937703263843e-06,1.0867337690952828e-05,7.909588674103099e-06,0.022755542336674008,0.014904608968734898,0.032035210976236475,4.815586215253715e-05,3.154151565876383e-05,6.779373486136698e-05
57,Botswana,0.0726386986814453,42.18447749284699,2546.402,0.020551311331142075,0.0014512505225909489,0.00660613877828644,0.005374134301415572,0.009101465952968776,0.007755809303741845,0.002175447383368864,0.008597624207448362,0.005031312010502087,0.005994204889980751,0.00235052982085783,4.830647014158288e-05,3.4112076308855352e-06,1.552792619908759e-05,1.2632062936772264e-05,2.1393267135975338e-05,1.823026105333181e-05,5.1134539483156516e-06,2.0208972088136542e-05,1.182624891872532e-05,1.4089557346231584e-05,0.022002561853733022,0.011980273079702012,0.03865586374801069,5.171767777246841e-05,2.8159989135859854e-05,9.086176049071624e-05
61,eSwatini,0.0812713200700914,42.29846494266417,1180.655,0.019013708714268867,0.004780991484884708,0.010066934223820505,0.004468976078217617,0.009871449737684359,0.007282514900303191,0.007154736323150037,0.008693682617028931,0.004872413330133959,0.005065912660599707,0.001089837655501724,2.0721855727551482e-05,5.210504550860457e-06,1.0971323992578607e-05,4.8704584115779765e-06,1.075827763852103e-05,7.936758965102801e-06,7.797501060154863e-06,9.474702681018902e-06,5.310139520348542e-06,5.521022377004486e-06,0.023794700199153574,0.014535910302038123,0.042940709568900184,2.5932360278411937e-05,1.5841782404156586e-05,4.6798402242150634e-05
62,Lesotho,0.0843591908637076,43.0304324498078,2254.1,0.015974449134761946,0.002474122328061525,0.009199479067920173,0.006098818473697335,0.0,0.009869268727891284,0.007745677030841078,0.012242773074544704,0.010595302991118431,0.010159300034869805,0.0020807120278713395,3.3238228453318094e-05,5.147936086422655e-06,1.9141466746772124e-05,1.268988495402597e-05,0.0,2.053510614841787e-05,1.6116523362077796e-05,2.5473685190704544e-05,2.20457743725613e-05,2.113857777730732e-05,0.01844857146282347,0.015298297541617507,0.0506123218592653,3.838616453974075e-05,3.18313517007981e-05,0.00010530966685106882
65,Zimbabwe,0.1099417854663912,42.61303180236045,15669.666,0.020554723367780626,0.005347688316302525,0.005902256704576615,0.013086722335498322,0.013985132413257178,0.0118875922973214,0.011007480972095944,0.010750490113247009,0.00908407001953076,0.008335628926783228,0.014464337216151271,0.0002973104501762835,7.735076713387194e-05,8.537223131128589e-05,0.00018929076491478646,0.00020228567123787924,0.00017194614367657912,0.00015921591668076432,0.000155498714236905,0.00013139505205762278,0.00012056934770569772,0.02590241168408315,0.018988979040074936,0.06505039474223552,0.0003746612173101555,0.00027466299622607235,0.000940910845595448
66,Ghana,0.1112183237453653,45.142618511619744,32180.401,0.020612017159388804,0.005591838590780185,0.02077392722302702,0.013152643399342261,0.013586295636936996,0.012645553801589764,0.006852161600729031,0.006013216933845974,0.00756910943776901,0.004421559961953048,0.02970504743464038,0.0006122809474432659,0.00016610583058597803,0.0006170904935637848,0.00039069989606837157,0.0004035815563562611,0.0003756367755135209,0.0002035437853794772,0.00017862289425467744,0.00022484075488691263,0.00013134264840492202,0.026203855750168988,0.033926570622369284,0.05108789737282383,0.000778386778029244,0.0010077903896321563,0.0015175684147957713
67,Congo,0.1116762938003927,46.02013183737043,5702.174,0.020906530909053703,0.005235808901451361,0.01613657506393601,0.006366558739039788,0.013115941974317851,0.012787489162395319,0.008245076507437171,0.01118747939663169,0.010715679437732228,0.006979153708400707,0.005263556198400793,0.00011004270035340739,2.755897439687636e-05,8.493576969874006e-05,3.3510739713355614e-05,6.903649767678586e-05,6.730766784270884e-05,4.339842355700968e-05,5.888592652262189e-05,5.6402580924551396e-05,3.6735167761444425e-05,0.026142339810505066,0.0225031338029758,0.06303082018691496,0.00013760167475028375,0.00011844650941209567,0.0003317662642851221
